Gerenal,WinRate,GameTimes
guansuo,not play yet,0
xingzhaoyun_o,not play yet,0
sunlang,not play yet,0
tenyear_zoushi,not play yet,0
daqiao,not play yet,0
ol_sunce,not play yet,0
zhangchunhua,not play yet,0
tenyear_zhangyi,not play yet,0
sunce,not play yet,0
tenyear_wangyun,not play yet,0
langmaxiumatie,not play yet,0
xuhuang,not play yet,0
sp_guanyu,not play yet,0
lingju,not play yet,0
zhangxuan,not play yet,0
zhangrang,not play yet,0
jsp_zhaoyun,not play yet,0
second_panshu,not play yet,0
mobile_panzhangmazhong,not play yet,0
fengfangnv,not play yet,0
ov_zhangning,not play yet,0
new_liuxie,not play yet,0
f_shentaishici,not play yet,0
ol_zhugedan,not play yet,0
mobile_yufan,not play yet,0
ol_wolong,not play yet,0
dongzhao,not play yet,0
tenyear_caocao,not play yet,0
tengyin,not play yet,0
jin_jiachong,not play yet,0
CaoCao_Plus,not play yet,0
duGanning,not play yet,0
GuYong_Plus,not play yet,0
zhugezhan,not play yet,0
s4_txbw_zhanghe,not play yet,0
zhanghe,not play yet,0
tenyear_liubiao,not play yet,0
CaoRen_Six,not play yet,0
mobile_caifuren,not play yet,0
ov_yufuluo,not play yet,0
xingcaocao,not play yet,0
tenyear_kanze,not play yet,0
ov_liyan,not play yet,0
nanshengmi,not play yet,0
shenxunyu,not play yet,0
shixie,not play yet,0
tenyear_caoxiu,not play yet,0
tenyear_fazheng,not play yet,0
mobileren_caizhenji,not play yet,0
second_tenyear_caozhang,not play yet,0
tenyear_guyong,not play yet,0
new_zhuzhi,not play yet,0
tenyear_hujinding,not play yet,0
xinpi,not play yet,0
ZhaoYun_Plus,not play yet,0
meizldingfuren,not play yet,0
wuyi,not play yet,0
s4_txbw_simayi,not play yet,0
guzhielai,not play yet,0
guojia,not play yet,0
ov_wangcan,not play yet,0
dongzhuo,not play yet,0
s4_lubu,not play yet,0
jiawenhe,not play yet,0
tenyear_liru,not play yet,0
tenyear_chenlin,not play yet,0
ov_jiling,not play yet,0
ZhangXiu_Plus,not play yet,0
ZhiGuoZhuGeLiang_Plus,not play yet,0
ov_yanxiang,not play yet,0
tenyear_caifuren,not play yet,0
tenyear_taoqian,not play yet,0
blood_zhaozilong,not play yet,0
caoxing,not play yet,0
liuqi,not play yet,0
mobile_jushou,not play yet,0
sp_hejin,not play yet,0
tenyear_huangquan,not play yet,0
heg_yuji,not play yet,0
ov_xiahouzie,not play yet,0
diaochan,not play yet,0
zhangjunyi,not play yet,0
ol_caocao,not play yet,0
second_sp_tongyuan,not play yet,0
yanliangwenchou,not play yet,0
mt_simayan,not play yet,0
mobilezhi_duyu,not play yet,0
yanfuren,not play yet,0
nos_jin_yangzhi,not play yet,0
sp_zhanghe,not play yet,0
wangyi,not play yet,0
new_caoxiu,not play yet,0
yt_shencaocao,not play yet,0
beimihu,not play yet,0
kanze,not play yet,0
yangyi,not play yet,0
chengpu,not play yet,0
meizlshendaqiao,not play yet,0
ov_mayulu,not play yet,0
machao,not play yet,0
haomeng,not play yet,0
